Take date:,,,,
Counted by:,,,,
Product name,Category,Location,Count,Unit
Sanitary Pads,"=IFERROR(VLOOKUP($A28,Products!$B:$E,2,FALSE),"""")","=IFERROR(VLOOKUP($A28,Products!$B:$E,3,FALSE),"""")",,"=IFERROR(VLOOKUP($A28,Products!$B:$E,4,FALSE),"""")"
Shampoo & Body Wash 5L,"=IFERROR(VLOOKUP($A29,Products!$B:$E,2,FALSE),"""")","=IFERROR(VLOOKUP($A29,Products!$B:$E,3,FALSE),"""")",,"=IFERROR(VLOOKUP($A29,Products!$B:$E,4,FALSE),"""")"
Tampons,"=IFERROR(VLOOKUP($A30,Products!$B:$E,2,FALSE),"""")","=IFERROR(VLOOKUP($A30,Products!$B:$E,3,FALSE),"""")",,"=IFERROR(VLOOKUP($A30,Products!$B:$E,4,FALSE),"""")"
Toilet Roll,"=IFERROR(VLOOKUP($A31,Products!$B:$E,2,FALSE),"""")","=IFERROR(VLOOKUP($A31,Products!$B:$E,3,FALSE),"""")",,"=IFERROR(VLOOKUP($A31,Products!$B:$E,4,FALSE),"""")"
Urinal Shields,"=IFERROR(VLOOKUP($A32,Products!$B:$E,2,FALSE),"""")","=IFERROR(VLOOKUP($A32,Products!$B:$E,3,FALSE),"""")",,"=IFERROR(VLOOKUP($A32,Products!$B:$E,4,FALSE),"""")"
Wet Kit Bags,"=IFERROR(VLOOKUP($A33,Products!$B:$E,2,FALSE),"""")","=IFERROR(VLOOKUP($A33,Products!$B:$E,3,FALSE),"""")",,"=IFERROR(VLOOKUP($A33,Products!$B:$E,4,FALSE),"""")"
Bin Bags 80L,"=IFERROR(VLOOKUP($A34,Products!$B:$E,2,FALSE),"""")","=IFERROR(VLOOKUP($A34,Products!$B:$E,3,FALSE),"""")",,"=IFERROR(VLOOKUP($A34,Products!$B:$E,4,FALSE),"""")"
Microfibre Cloths,"=IFERROR(VLOOKUP($A35,Products!$B:$E,2,FALSE),"""")","=IFERROR(VLOOKUP($A35,Products!$B:$E,3,FALSE),"""")",,"=IFERROR(VLOOKUP($A35,Products!$B:$E,4,FALSE),"""")"
Multi-Surface Cleaner 5L,"=IFERROR(VLOOKUP($A36,Products!$B:$E,2,FALSE),"""")","=IFERROR(VLOOKUP($A36,Products!$B:$E,3,FALSE),"""")",,"=IFERROR(VLOOKUP($A36,Products!$B:$E,4,FALSE),"""")"
Nitrile Gloves (L),"=IFERROR(VLOOKUP($A37,Products!$B:$E,2,FALSE),"""")","=IFERROR(VLOOKUP($A37,Products!$B:$E,3,FALSE),"""")",,"=IFERROR(VLOOKUP($A37,Products!$B:$E,4,FALSE),"""")"
Water Softener Salt,"=IFERROR(VLOOKUP($A38,Products!$B:$E,2,FALSE),"""")","=IFERROR(VLOOKUP($A38,Products!$B:$E,3,FALSE),"""")",,"=IFERROR(VLOOKUP($A38,Products!$B:$E,4,FALSE),"""")"
