delivery_date,product_name_raw,invoice_description,qty_cases,supplier,unit_cost_net,net_amount
2026-08-07,blue_rolls,BulkySoft 2-ply Embossed Blue Centrefeed Hand Towel Rolls 150m (002.025B),2,Futures Supplies,11.31,22.62
2026-08-07,sanitiser_gel,BioHygiene UNFRAGRANCED Sanitiser 5L (007.302S),1,Futures Supplies,26.98,26.98
2026-08-07,hand_wash,Odyssey Black Pepper & Sandalwood Hand Wash 5L,3,Out of Eden,19.94,59.82
2026-08-07,moisturiser,Odyssey Black Pepper & Sandalwood Hand & Body Lotion 5L,1,Out of Eden,20.99,20.99
2026-08-07,conditioner,Odyssey Black Pepper & Sandalwood Conditioner 5L,2,Out of Eden,19.94,39.88
2026-08-07,shampoo,Odyssey Black Pepper & Sandalwood Shampoo & Body Wash 5L,6,Out of Eden,18.89,113.35
